"iso","rcp","ssp","model","period","year_center","TT","flextotal","rawtotal","f2mort","f2total"
"BGD","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,5.87879324420411,4.59076486008154,42,49.1
"BGR","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-1.56375606146242,-1.79894867402343,NA,NA
"BGR","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,2.53656568938377,-2.70455160159096,NA,NA
"BGR","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,5.06766413761903,-2.02903521545164,NA,NA
"BGR","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,6.22151806360142,-0.423349672888617,NA,NA
"BGR","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,6.2632726887934,2.95646510493441,NA,NA
"BHR","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,16.3575982511721,5.27010151337217,NA,NA
"BHR","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,18.8883264879781,9.3723268051243,NA,NA
"BHR","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,19.6958315238959,12.0223207892588,NA,NA
"BHR","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,19.8540296685257,11.4133180285822,NA,NA
"BHR","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,19.547850804439,11.6499210802664,NA,NA
"BHS","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-26.3483569712736,-4.02209812701191,NA,NA
"BHS","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-27.9485566037506,-9.58109553049846,NA,NA
"BHS","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-27.5133153851932,-17.2632446450447,NA,NA
"BHS","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-26.3916536080505,-20.875314021482,NA,NA
"BHS","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-25.4050697644483,-24.0644314446063,NA,NA
"BIH","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-26.3345658852725,-6.3151241219927,NA,NA
"BIH","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-22.3224438663911,-12.336387394887,NA,NA
"BIH","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-19.230041548511,-13.6431228511597,NA,NA
"BIH","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-16.9334815913706,-5.06735906167785,NA,NA
"BIH","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-15.9116320522621,1.68020428383152,NA,NA
"BLM","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-29.7301242731659,-3.74233440048819,NA,NA
"BLM","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-30.597476561642,-9.59944502478276,NA,NA
"BLM","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-29.1742819243397,-15.3574868128579,NA,NA
"BLM","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-27.3164628787639,-19.439873491552,NA,NA
"BLM","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-25.971439073283,-18.5218740448262,NA,NA
"BLR","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-46.7006389372957,-10.7300956097127,NA,NA
"BLR","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-49.0049955910227,-22.4950485620267,NA,NA
"BLR","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-47.004172123061,-30.3908554704521,NA,NA
"BLR","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-43.7498888737501,-33.0851980529369,NA,NA
"BLR","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-41.5976346022482,-33.2540318852636,NA,NA
"BLZ","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-19.2945590548687,-3.07328257998779,NA,NA
"BLZ","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-19.4240490450236,-8.23727218268827,NA,NA
"BLZ","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-17.9416963574013,-15.4936261820491,NA,NA
"BLZ","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-16.2793422376755,-19.9285587461787,NA,NA
"BLZ","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-14.9693661265098,-22.9566563046055,NA,NA
"BMU","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-11.9912510387272,-2.18189885472052,NA,NA
"BMU","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-12.222490157643,-5.7733862448068,NA,NA
"BMU","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-11.588714091331,-8.73729773574015,NA,NA
"BMU","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-10.818566027729,-8.34031371742012,NA,NA
"BMU","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-10.2791423614507,-11.0686235783663,NA,NA
"BOL","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-21.1671951440273,-6.70763627490705,NA,NA
"BOL","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-18.3193603098255,-11.656475502142,NA,NA
"BOL","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-15.1740146491133,-15.4407834085886,NA,NA
"BOL","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-13.3389590369704,-16.1063644029816,NA,NA
"BOL","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-12.5458919369446,-15.569510441441,NA,NA
"BRA","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-27.2058107786993,-5.8358532127029,NA,NA
"BRA","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-27.6217730429755,-12.2132325460784,NA,NA
"BRA","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-25.3991285615026,-17.2225814737194,NA,NA
"BRA","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-23.5670313622652,-20.3307727193928,NA,NA
"BRA","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-22.2641042537014,-21.7254746694718,NA,NA
"BRB","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-60.0617888419286,-4.78968111751808,NA,NA
"BRB","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-64.3047006358156,-17.7261507297153,NA,NA
"BRB","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-60.8640833830125,-30.5607703141983,NA,NA
"BRB","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-56.364741551397,-38.656952560726,NA,NA
"BRB","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-53.1940614859704,-40.3072053949811,NA,NA
"BRN","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-63.5099242638908,-3.62024415513042,NA,NA
"BRN","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-71.7827853607473,-8.92090347736907,NA,NA
"BRN","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-64.0814718285244,-22.6334314213701,NA,NA
"BRN","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-58.1773085962848,-36.3968956200156,NA,NA
"BRN","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-54.8602969616811,-39.9148796472882,NA,NA
"BTN","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-12.4759911635529,-4.06138639455037,NA,NA
"BTN","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-12.2391037657718,-7.30051522159522,NA,NA
"BTN","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-10.9032416464711,-9.76262423430303,NA,NA
"BTN","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-9.81243139135938,-7.36190048563391,NA,NA
"BTN","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-9.21356277310423,-5.99759973214068,NA,NA
"BWA","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-6.06367331477822,-2.86389991159757,NA,NA
"BWA","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-5.82095080010372,-3.40464156045208,NA,NA
"BWA","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-5.53165244348403,-4.195050656941,NA,NA
"BWA","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-5.19679466057408,-5.21650372775131,NA,NA
"BWA","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,-4.96614930399899,-5.23936736697424,NA,NA
"CA-","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,28.3526800486057,4.46638083646567,NA,NA
"CA-","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,31.2363255581858,12.4529643007699,NA,NA
"CA-","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,30.915138130961,22.0232238014167,NA,NA
"CA-","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,29.5044425494018,31.9122367608474,NA,NA
"CA-","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,28.1684351218429,36.8234923464703,NA,NA
"CAF","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,7.02024306035114,4.50050963445522,NA,NA
"CAF","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,10.7180494344991,7.8008391016507,NA,NA
"CAF","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,10.8322414948067,9.96866669723475,NA,NA
"CAF","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,9.5749216681742,6.61820246497202,NA,NA
"CAF","rcp45","SSP2","low","2095_2100",2100,2.32376842714839,8.53061706009305,1.93448904092723,NA,NA
"CAN","rcp45","SSP2","low","2020_2039",2039,1.60487362359058,-64.1978442915613,-17.3546973734728,NA,NA
"CAN","rcp45","SSP2","low","2040_2059",2059,1.97392221482732,-65.64503994008,-32.7888025393967,NA,NA
"CAN","rcp45","SSP2","low","2060_2079",2079,2.18692455075282,-64.1234339912016,-42.0867128560521,NA,NA
"CAN","rcp45","SSP2","low","2080_2094",2094,2.29908506581955,-61.5623655937015,-47.6953632573993,NA,NA
